GORNA,1,1,47@0
FBIS3-29,2,false,false
gasoline,1,8,47@252
FBIS3-29,8,false,false
indebtedness,1,1,47@254
FBIS3-29,1,false,false
monarch,1,1,47@256
FBIS3-45,1,false,false
20 M Dollars,3,4,47@258
FBIS3-35,1,false,false
FBIS3-29,1,false,false
FBIS3-23,2,false,false
engine,2,3,47@262
FBIS3-35,2,false,false
FBIS3-8,1,false,false
ratings,1,1,47@265
FBIS3-1,1,false,false
tutorial,1,1,47@267
FBIS3-26,1,false,false
morale,1,2,47@269
FBIS3-48,2,false,false
30,000-35,000,1,1,47@271
FBIS3-29,1,false,false
airline,2,4,47@273
FBIS3-23,1,false,false
FBIS3-29,3,false,false
effectiveness,2,2,47@276
FBIS3-14,1,false,false
FBIS3-29,1,false,false
campaigning,1,2,47@279
FBIS3-6,2,false,false
versus,2,2,47@281
FBIS3-26,1,false,false
FBIS3-38,1,false,false
4.0,1,1,47@284
FBIS3-1,1,false,false
swear,1,1,47@286
FBIS3-27,1,false,false
fairing,1,1,47@288
FBIS3-35,1,false,false
harnesses,1,2,47@290
FBIS3-23,2,false,false
SERBIA,3,3,47@292
FBIS3-29,1,false,false
FBIS3-2,1,false,false
FBIS3-36,1,false,false
gestures,1,1,47@296
FBIS3-30,1,false,false
UIC-FUNDED,1,1,47@298
FBIS3-23,1,false,false
pleading,1,1,47@300
FBIS3-30,1,false,false
brethren,1,1,47@302
FBIS3-45,1,false,false
businesses,5,10,47@304
FBIS3-29,3,false,false
FBIS3-35,1,false,false
FBIS3-37,1,false,false
FBIS3-23,3,false,false
FBIS3-8,2,false,false
undignified,1,1,47@310
FBIS3-28,1,false,false
KC1.7,1,1,47@312
FBIS3-29,1,false,false
proceed,7,11,47@314
FBIS3-30,1,false,false
FBIS3-31,3,false,false
FBIS3-9,1,false,false
FBIS3-11,1,false,false
FBIS3-35,1,false,false
FBIS3-23,3,false,false
FBIS3-29,1,false,false
amorphous,1,1,47@322
FBIS3-35,1,false,false
pressed,3,3,47@324
FBIS3-11,1,false,false
FBIS3-40,1,false,false
FBIS3-25,1,false,false
300M,3,4,47@328
FBIS3-35,2,false,false
FBIS3-23,1,false,false
FBIS3-29,1,false,false
southeast,1,3,47@332
FBIS3-23,3,false,false
unwavering,1,1,47@334
FBIS3-11,1,false,false
dismantling,1,2,47@336
FBIS3-25,2,false,false
coexistence,1,4,47@338
FBIS3-7,4,false,false
FEBRUARY,13,71,47@340
FBIS3-1,1,false,false
FBIS3-46,1,false,false
FBIS3-26,2,false,false
FBIS3-32,9,false,false
FBIS3-14,10,false,false
FBIS3-34,1,false,false
FBIS3-23,14,false,false
FBIS3-4,1,false,false
FBIS3-38,8,false,false
FBIS3-29,19,false,false
FBIS3-39,1,false,false
FBIS3-6,3,false,false
FBIS3-44,1,false,false
FORBO,1,1,47@354
FBIS3-29,1,false,false
air,9,21,47@356
FBIS3-29,10,false,false
FBIS3-26,1,false,false
FBIS3-27,1,false,false
FBIS3-2,1,false,false
FBIS3-35,3,false,false
FBIS3-23,2,false,false
FBIS3-5,1,false,false
FBIS3-6,1,false,false
FBIS3-8,1,false,false
cell,1,3,47@366
FBIS3-35,3,false,false
self-help,1,1,47@368
FBIS3-23,1,false,false
cameras,1,1,47@370
FBIS3-48,1,false,false
651,1,1,47@372
FBIS3-29,1,false,false
honesty,1,1,47@374
FBIS3-27,1,false,false
assertion,2,3,47@376
FBIS3-9,1,false,false
FBIS3-23,2,false,false
costly,1,1,47@379
FBIS3-29,1,false,false
NIPPON,1,1,47@381
FBIS3-23,1,false,false
question,15,21,47@383
FBIS3-46,1,false,false
FBIS3-26,1,false,false
FBIS3-30,1,false,false
FBIS3-27,2,false,false
FBIS3-11,1,false,false
FBIS3-29,1,false,false
FBIS3-16,1,false,false
FBIS3-19,1,false,false
FBIS3-23,2,false,false
FBIS3-36,2,false,false
FBIS3-40,1,false,false
FBIS3-42,1,false,false
FBIS3-5,2,false,false
FBIS3-25,2,false,false
FBIS3-7,2,false,false
ISRAELI-SYRIAN,1,1,47@399
FBIS3-39,1,false,false
television,18,91,47@401
FBIS3-45,1,false,false
FBIS3-32,1,false,false
FBIS3-9,1,false,false
FBIS3-14,4,false,false
FBIS3-49,2,false,false
FBIS3-16,1,false,false
FBIS3-20,3,false,false
FBIS3-22,2,false,false
FBIS3-2,8,false,false
FBIS3-29,5,false,false
FBIS3-36,2,false,false
FBIS3-38,1,false,false
FBIS3-23,6,false,false
FBIS3-39,5,false,false
FBIS3-24,2,false,false
FBIS3-6,45,false,false
FBIS3-8,1,false,false
FBIS3-42,1,false,false
untroubled,1,1,47@420
FBIS3-6,1,false,false
impressions,1,1,47@422
FBIS3-24,1,false,false
prototype,2,4,47@424
FBIS3-29,1,false,false
FBIS3-35,3,false,false
2.2,1,2,47@427
FBIS3-35,2,false,false
logic,2,2,47@429
FBIS3-34,1,false,false
FBIS3-35,1,false,false
compressed-air,1,1,47@432
FBIS3-29,1,false,false
predecessors,1,1,47@434
FBIS3-23,1,false,false
scaled,1,1,47@436
FBIS3-29,1,false,false
findings,3,3,47@438
FBIS3-29,1,false,false
FBIS3-1,1,false,false
FBIS3-23,1,false,false
impressed,1,1,47@442
FBIS3-24,1,false,false
FRENCH,9,57,47@444
FBIS3-26,17,false,false
FBIS3-33,4,false,false
FBIS3-34,1,false,false
FBIS3-35,2,false,false
FBIS3-28,6,false,false
FBIS3-4,2,false,false
FBIS3-23,2,false,false
FBIS3-29,18,false,false
FBIS3-44,5,false,false
mineral,1,1,47@454
FBIS3-29,1,false,false
1.5B,2,3,47@456
FBIS3-29,1,false,false
FBIS3-23,2,false,false
intense,3,3,47@459
FBIS3-28,1,false,false
FBIS3-35,1,false,false
FBIS3-42,1,false,false
JANUARY,17,64,47@463
FBIS3-45,2,false,false
FBIS3-46,3,false,false
FBIS3-32,1,false,false
FBIS3-11,1,false,false
FBIS3-14,10,false,false
FBIS3-48,3,false,false
FBIS3-33,1,false,false
FBIS3-35,1,false,false
FBIS3-1,2,false,false
FBIS3-20,1,false,false
FBIS3-4,1,false,false
FBIS3-29,20,false,false
FBIS3-38,5,false,false
FBIS3-23,7,false,false
FBIS3-39,1,false,false
FBIS3-41,1,false,false
FBIS3-6,4,false,false
ABURIZAL,1,1,47@481
FBIS3-23,1,false,false
1.6K,2,5,47@483
FBIS3-29,3,false,false
FBIS3-2,2,false,false
ABDUH,1,1,47@486
FBIS3-19,1,false,false
margarine,1,1,47@488
FBIS3-29,1,false,false
200,3,8,47@490
FBIS3-26,2,false,false
FBIS3-35,1,false,false
FBIS3-29,5,false,false
688,1,1,47@494
FBIS3-48,1,false,false
races,1,1,47@496
FBIS3-38,1,false,false
KC12O,1,1,47@498
FBIS3-29,1,false,false
LIPITSKIY,1,1,47@500
FBIS3-32,1,false,false
collect,1,1,47@502
FBIS3-23,1,false,false
structurally,1,1,47@504
FBIS3-23,1,false,false
21%,2,3,47@506
FBIS3-29,2,false,false
FBIS3-23,1,false,false
semiconductors,2,9,47@509
FBIS3-35,6,false,false
FBIS3-23,3,false,false
lightweight,1,1,47@512
FBIS3-35,1,false,false
CETINSKA,1,1,47@514
FBIS3-2,1,false,false
2000 M Dollars,1,2,47@516
FBIS3-29,2,false,false
times,9,17,47@518
FBIS3-26,2,false,false
FBIS3-32,1,false,false
FBIS3-27,1,false,false
FBIS3-35,3,false,false
FBIS3-29,4,false,false
FBIS3-19,1,false,false
FBIS3-2,2,false,false
FBIS3-23,2,false,false
FBIS3-39,1,false,false
debtor,1,2,47@528
FBIS3-29,2,false,false
hirees,1,1,47@530
FBIS3-26,1,false,false
1995-12,1,1,47@532
FBIS3-23,1,false,false
department,7,18,47@534
FBIS3-26,2,false,false
FBIS3-14,2,false,false
FBIS3-47,1,false,false
FBIS3-17,3,false,false
FBIS3-23,1,false,false
FBIS3-29,8,false,false
FBIS3-6,1,false,false
render,1,1,47@542
FBIS3-31,1,false,false
APRIL,4,9,47@544
FBIS3-26,1,false,false
FBIS3-27,1,false,false
FBIS3-29,4,false,false
FBIS3-23,3,false,false
imposing,1,1,47@549
FBIS3-4,1,false,false
deliberately,2,2,47@551
FBIS3-25,1,false,false
FBIS3-37,1,false,false
radical,2,3,47@554
FBIS3-29,2,false,false
FBIS3-44,1,false,false
KRISS,1,2,47@557
FBIS3-35,2,false,false
ALDO,1,1,47@559
FBIS3-18,1,false,false
state-controlled,1,1,47@561
FBIS3-29,1,false,false
500K,2,5,47@563
FBIS3-35,2,false,false
FBIS3-29,3,false,false
consecutive,1,5,47@566
FBIS3-23,5,false,false
PRESIDENT ALIJA IZETBEGOVIC,2,2,47@568
FBIS3-2,1,false,true
FBIS3-36,1,false,true
MIENO,1,3,47@571
FBIS3-23,3,false,false
ENEAG/01,1,1,47@573
FBIS3-4,1,false,false
KDC,1,2,47@575
FBIS3-29,2,false,false
dyeing,1,1,47@577
FBIS3-23,1,false,false
DWA,1,3,47@579
FBIS3-26,3,false,false
lessen,2,2,47@581
FBIS3-26,1,false,false
FBIS3-23,1,false,false
eventual,5,5,47@584
FBIS3-34,1,false,false
FBIS3-22,1,false,false
FBIS3-3,1,false,false
FBIS3-36,1,false,false
FBIS3-7,1,false,false
formulation,4,5,47@590
FBIS3-30,1,false,false
FBIS3-47,1,false,false
FBIS3-49,2,false,false
FBIS3-23,1,false,false
55.9%,1,1,47@595
FBIS3-29,1,false,false
adviser,8,10,47@597
FBIS3-45,1,false,false
FBIS3-32,1,false,false
FBIS3-27,1,false,false
FBIS3-11,1,false,false
FBIS3-20,1,false,false
FBIS3-29,1,false,false
FBIS3-39,1,false,false
FBIS3-6,3,false,false
fully,6,10,47@606
FBIS3-15,1,false,false
FBIS3-49,1,false,false
FBIS3-2,1,false,false
FBIS3-23,2,false,false
FBIS3-29,4,false,false
FBIS3-5,1,false,false
INDONESIAN,1,3,47@613
FBIS3-23,3,false,false
VARNA,1,1,47@615
FBIS3-29,1,false,false
inefficiency,1,1,47@617
FBIS3-27,1,false,false
GUNGAADORJ,1,1,47@619
FBIS3-17,1,false,false
rents,1,1,47@621
FBIS3-29,1,false,false
NATIONAL BANK,2,4,47@623
FBIS3-26,1,false,true
FBIS3-29,3,false,true
trade-economic,1,1,47@626
FBIS3-18,1,false,false
TEMPUS,1,1,47@628
FBIS3-29,1,false,false
22-23,1,1,47@630
FBIS3-1,1,false,false
SK2.06,1,1,47@632
FBIS3-29,1,false,false
4-12,1,1,47@634
FBIS3-32,1,false,false
PENG,1,1,47@636
FBIS3-11,1,false,false
112.7%,1,1,47@638
FBIS3-29,1,false,false
SUHARTO,1,1,47@640
FBIS3-23,1,false,false
reorganization,5,28,47@642
FBIS3-26,3,false,false
FBIS3-14,14,false,false
FBIS3-15,2,false,false
FBIS3-47,1,false,false
FBIS3-6,8,false,false
retention,1,1,47@648
FBIS3-27,1,false,false
machine-building,1,1,47@650
FBIS3-29,1,false,false
OLIVETTI,1,1,47@652
FBIS3-23,1,false,false
delegates,1,7,47@654
FBIS3-27,7,false,false
DERMOJET,1,1,47@656
FBIS3-29,1,false,false
disclose,1,1,47@658
FBIS3-23,1,false,false
PAK YONG-SU,2,2,47@660
FBIS3-30,1,false,true
FBIS3-49,1,false,true
875 M Dollars,1,1,47@663
FBIS3-29,1,false,false
ash,1,2,47@665
FBIS3-35,2,false,false
10-26,1,2,47@667
FBIS3-23,2,false,false
representatives,10,23,47@669
FBIS3-26,1,false,false
FBIS3-14,2,false,false
FBIS3-15,1,false,false
FBIS3-27,1,false,false
FBIS3-38,1,false,false
FBIS3-23,2,false,false
FBIS3-41,1,false,false
FBIS3-29,12,false,false
FBIS3-6,1,false,false
FBIS3-8,1,false,false
demanded,9,11,47@680
FBIS3-26,1,false,false
FBIS3-15,1,false,false
FBIS3-48,1,false,false
FBIS3-49,2,false,false
FBIS3-34,1,false,false
FBIS3-27,1,false,false
FBIS3-23,2,false,false
FBIS3-36,1,false,false
FBIS3-29,1,false,false
privileges,1,1,47@690
FBIS3-23,1,false,false
PEZINOK,1,1,47@692
FBIS3-29,1,false,false
attend,1,1,47@694
FBIS3-26,1,false,false
16/2352z,1,1,47@696
FBIS3-42,1,false,false
273,1,1,47@698
FBIS3-38,1,false,false
irrigation,1,2,47@700
FBIS3-29,2,false,false
sounded,1,1,47@702
FBIS3-23,1,false,false
donation,1,1,47@704
FBIS3-45,1,false,false
menacing,1,1,47@706
FBIS3-32,1,false,false
TAKEMURA,1,6,47@708
FBIS3-40,6,false,false
town,3,7,47@710
FBIS3-25,1,false,false
FBIS3-4,1,false,false
FBIS3-29,5,false,false
sanguine,1,1,47@714
FBIS3-32,1,false,false
enlisted,1,1,47@716
FBIS3-27,1,false,false
decrease,2,5,47@718
FBIS3-26,1,false,false
FBIS3-29,4,false,false
technologies,5,10,47@721
FBIS3-26,1,false,false
FBIS3-11,1,false,false
FBIS3-35,2,false,false
FBIS3-29,1,false,false
FBIS3-23,5,false,false
measure,9,12,47@727
FBIS3-26,2,false,false
FBIS3-47,1,false,false
FBIS3-48,1,false,false
FBIS3-29,1,false,false
FBIS3-38,1,false,false
FBIS3-23,3,false,false
FBIS3-6,1,false,false
FBIS3-43,1,false,false
FBIS3-44,1,false,false
outskirts,1,1,47@737
FBIS3-23,1,false,false
HEALTH-CARE,1,1,47@739
FBIS3-29,1,false,false
parameters,1,1,47@741
FBIS3-46,1,false,false
BOUNDS QUESTIONS,2,2,47@743
FBIS3-40,1,false,true
FBIS3-43,1,false,true
hidden,2,2,47@746
FBIS3-26,1,false,false
FBIS3-38,1,false,false
